# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
7.180000000e+02  0.51881  0.68315  1.00000  0.92597  0.82209
7.170000000e+02  0.43261  0.69549  1.00000  0.99017  0.62882
7.160000000e+02  0.13870  0.70700  1.00000  0.99802  0.19745
7.150000000e+02  0.08772  0.71776  1.00000  0.99855  0.12198
7.140000000e+02  0.40568  0.72782  1.00000  0.99825  0.55770
7.130000000e+02  0.58480  0.73723  1.00000  0.99866  0.79408
7.120000000e+02  0.65651  0.74605  1.00000  0.99179  0.88736
7.110000000e+02  0.69723  0.75432  1.00000  0.99434  0.92947
7.100000000e+02  0.71714  0.76208  1.00000  0.98900  0.95154
7.090000000e+02  0.73974  0.76938  1.00000  0.99692  0.96444
7.080000000e+02  0.74641  0.77624  1.00000  0.98867  0.97257
7.070000000e+02  0.76431  0.78269  1.00000  0.99884  0.97764
7.060000000e+02  0.77364  0.78877  1.00000  0.99889  0.98191
7.050000000e+02  0.78186  0.79450  1.00000  0.99915  0.98492
7.040000000e+02  0.78866  0.79991  1.00000  0.99880  0.98712
7.030000000e+02  0.79385  0.80499  1.00000  0.99733  0.98880
7.020000000e+02  0.78786  0.80949  1.00000  0.98299  0.99014
7.010000000e+02  0.73188  0.81223  1.00000  0.90908  0.99120
7.000000000e+02  0.80108  0.81486  1.00000  0.99093  0.99207
6.990000000e+02  0.80061  0.81737  1.00000  0.98661  0.99278
